|,id,name,rating,ratings,vicinity,geometry__location__lat,geometry__location__lng,geometry__viewport,geometry__viewport__lat,geometry__viewport__lng,website,address,city,zipcode_area,types__001,types__002,types__003,types__004,types__005,types__006,types__007,types__008,types__009
ChIJLY3WLP3JwoARmBKjorrgdbg,ChIJLY3WLP3JwoARmBKjorrgdbg,Nails by ChynaMua1,,,"1141, 1/2 East 23rd Street, Los Angeles",34.0222419,-118.2550761,northeast,34.02349498,-118.253789,https://www.facebook.com/chynamua1/,1141, 1/2 East 23rd Street,90240,beauty_salon,,,,,,,,
ChIJFx56y_zJwoARqTeJwaCmN74,ChIJFx56y_zJwoARqTeJwaCmN74,Super Roofer Los Angeles & Commercial Roofing,,,"1233 East 21st Street, Los Angeles",34.023576,-118.252834,northeast,34.02480063,-118.2515649,,1233 East 21st Street, Los Angeles,90240,store,,,,,,,,
ChIJs5D0PhnJwoARYRyLlptsy9U,ChIJs5D0PhnJwoARYRyLlptsy9U,911,,,"1233 East 21st Street, Los Angeles",34.023576,-118.252834,northeast,34.02480063,-118.2515649,,1233 East 21st Street, Los Angeles,90240,store,general_contractor,,,,,,,
ChIJzzJt1X_IwoARYIHDZbkvOpk,ChIJzzJt1X_IwoARYIHDZbkvOpk,Eastsider Motel,3.6,166,"2133 South Central Avenue, Los Angeles",34.0223212,-118.2527248,northeast,34.02363023,-118.251368,http://www.etowninn.com/,2133 South Central Avenue, Los Angeles,90240,lodging,,,,,,,,
ChIJJ7gmb4DIwoARoSHGAYB1r64,ChIJJ7gmb4DIwoARoSHGAYB1r64,Coinstar,4.8,4,"Super Center Concepts, 2000 South Central Avenue, Los Angeles",34.0226815,-118.2517193,northeast,34.02409543,-118.2503178,https://www.coinstar.com/,Super Center Concepts, 2000 South Central Avenue,90240,finance,,,,,,,,
ChIJtde-i4DIwoARR2zeweXHbO8,ChIJtde-i4DIwoARR2zeweXHbO8,Twentyfirst Street Temple Church of God in Christ,,,Los Angeles,34.0223233,-118.2515202,northeast,34.02367228,-118.2501712,,,Los Angeles,90240,church,place_of_worship,,,,,,,
ChIJo7kmb4DIwoAR702FeJkPx00,ChIJo7kmb4DIwoAR702FeJkPx00,Superior Grocers,4,737,"2000 South Central Avenue, Los Angeles",34.0226152,-118.2516119,northeast,34.02414243,-118.2504142,https://superiorgrocers.com/location/central-ave/,2000 South Central Avenue, Los Angeles,90240,grocery_or_supermarket,food,store,,,,,,
ChIJB2jQeoDIwoAR7VuRi6PIt6M,ChIJB2jQeoDIwoAR7VuRi6PIt6M,2020 Optometrists,4.2,18,"2080 South Central Avenue, Los Angeles",34.0225605,-118.2519725,northeast,34.02390948,-118.2506235,https://2020-optometrists.negocio.site/,2080 South Central Avenue, Los Angeles,90240,health,store,,,,,,,
ChIJnzAUfYDIwoARCaTnlu6vywY,ChIJnzAUfYDIwoARCaTnlu6vywY,MoneyGram,,,"2000 South Central Avenue, Los Angeles",34.0224113,-118.252037,northeast,34.02376028,-118.250688,http://locations.moneygram.com/ca/los-angeles/291176191/,2000 South Central Avenue, Los Angeles,90240,finance,,,,,,,,
ChIJ1b7hZYDIwoAR06P6V22_JsA,ChIJ1b7hZYDIwoAR06P6V22_JsA,"Jonovan Ottenbacher, OD",,,"2020 South Central Avenue, Los Angeles",34.0230047,-118.2515724,northeast,34.02433228,-118.2501851,http://www.2020opt.com/,2020 South Central Avenue, Los Angeles,90240,doctor,health,,,,,,,
ChIJo7kmb4DIwoARuZACU0KvRJo,ChIJo7kmb4DIwoARuZACU0KvRJo,Urban Builders Inc,,,"2000 South Central Avenue, Los Angeles",34.0224113,-118.252037,northeast,34.02383863,-118.2508115,,2000 South Central Avenue, Los Angeles,90240,general_contractor,,,,,,,,
ChIJo7kmb4DIwoARr3OQ8ZJM8P0,ChIJo7kmb4DIwoARr3OQ8ZJM8P0,Continental Exchange Solutions,,,"2000 South Central Avenue, Los Angeles",34.0224113,-118.252037,northeast,34.02383863,-118.2508115,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=4470153,2000 South Central Avenue, Los Angeles,90240,finance,,,,,,,,
ChIJgR0Ud4DIwoAR-6n9Y1EspCQ,ChIJgR0Ud4DIwoAR-6n9Y1EspCQ,Amber Auto Repair,4.2,16,"1262 East 21st Street, Los Angeles",34.0228895,-118.2525672,northeast,34.02431908,-118.2511271,,1262 East 21st Street, Los Angeles,90240,car_repair,,,,,,,,
ChIJCzzVfoDIwoARHY1wivUbNmI,ChIJCzzVfoDIwoARHY1wivUbNmI,Tony's Burger,4.5,96,"2115 South Central Avenue, Los Angeles",34.0226057,-118.2526125,northeast,34.02395468,-118.2512635,https://tonysburgerlp.wixsite.com/tonys,2115 South Central Avenue, Los Angeles,90240,restaurant,food,,,,,,,
ChIJA2Obe4DIwoARn9R0gSR2K9M,ChIJA2Obe4DIwoARn9R0gSR2K9M,Everest Dental Care,4,20,"2050 South Central Avenue, Los Angeles",34.0227145,-118.2519071,northeast,34.02406348,-118.2505581,http://www.everestdentalcare.com/,2050 South Central Avenue, Los Angeles,90240,doctor,dentist,health,,,,,,
ChIJgR0Ud4DIwoARzh2fr28REpA,ChIJgR0Ud4DIwoARzh2fr28REpA,Glass Connection,,,"1262 East 21st Street, Los Angeles",34.0228895,-118.2525672,northeast,34.02431908,-118.2511271,,1262 East 21st Street, Los Angeles,90240,car_repair,,,,,,,,
ChIJWUYOfIDIwoAR3zh0jIL-6BY,ChIJWUYOfIDIwoAR3zh0jIL-6BY,Olive Branch Pharmacy,4.8,13,"2070 South Central Avenue, Los Angeles",34.022633,-118.251976,northeast,34.02398198,-118.250627,,2070 South Central Avenue, Los Angeles,90240,pharmacy,health,store,,,,,,
ChIJ1X0ge4DIwoAR8457C081Ncc,ChIJ1X0ge4DIwoAR8457C081Ncc,"Family Insurance Sales, LLC",4.8,43,"2052 South Central Avenue, Los Angeles",34.0227219,-118.251954,northeast,34.02410848,-118.2506643,http://www.familyinsurancesales.com/,2052 South Central Avenue, Los Angeles,90240,insurance_agency,,,,,,,,
