id,street_address,city,state,zip_code
1077,2207 Hyperion Avenue,Los Angeles,CA,90027
1081,11645 Wilshire Blvd #803,Los Angeles,CA,90025
1092,2014 S San Pedro Street,Los Angeles,CA,90011
1100,3260 Avalon Blvd,Los Angeles,CA,90011
1111,1554 S Sepulveda Blvd Suite #102,Los Angeles,CA,90025
1114,3930 Los Feliz Blvd #111,Los Angeles,CA,90027
1119,2801 Chadwick Circle,Los Angeles,CA,90032
1123,12003 Wilshire Blvd,Los Angeles,CA,90025
1132,5406 Franklin Avenue #3,Los Angeles,CA,90027
1133,1740 S Westgate Avenue Unit #C,Los Angeles,CA,90025
1135,5301 W Sunset Blvd Suite #6,Los Angeles,CA,90027
1139,2777 Glendower Avenue,Los Angeles,CA,90027
1141,12100 Wilshire Blvd Suite #1150,Los Angeles,CA,90025
1145,3610 S San Pedro Street,Los Angeles,CA,90011
1146,1525 S Saltair Avenue #215A,Los Angeles,CA,90025
1161,4519 Cassatt Street,Los Angeles,CA,90032
1177,1844 N Harvard Blvd #27,Los Angeles,CA,90027
1181,1630 Cotner Avenue,Los Angeles,CA,90025
1183,5213 Ithaca Avenue,Los Angeles,CA,90032
1184,4675 Hollywood Blvd,Los Angeles,CA,90027
1185,4379 Yellowstone Street,Los Angeles,CA,90032
1186,4343 Finley Avenue #4,Los Angeles,CA,90027
1205,1563 E 23Rd Street,Los Angeles,CA,90011
1211,1806 Corinth Avenue #3,Los Angeles,CA,90025
1225,12400 Wilshire Blvd #1180,Los Angeles,CA,90025
1231,12041 Wilshire Blvd Unit #30,Los Angeles,CA,90025
1243,5419 Hollywood Blvd Suite #C253,Los Angeles,CA,90027
1245,12121 Wilshire Blvd #104,Los Angeles,CA,90025
1247,3643 Monon Street,Los Angeles,CA,90027
1268,1525 E 25Th Street,Los Angeles,CA,90011
1273,4801 1/2 Hooper Avenue,Los Angeles,CA,90011
1275,2110 Cotner Avenue,Los Angeles,CA,90025
1280,4822 Compton Avenue,Los Angeles,CA,90011
1282,11050 Santa Monica Blvd Floor #2,Los Angeles,CA,90025
1289,2001 S Barrington Avenue,Los Angeles,CA,90025
1291,2325 Highbury Avenue Unit #67,Los Angeles,CA,90032
1293,5120 Wall Street,Los Angeles,CA,90011
1299,114 E 56Th Street,Los Angeles,CA,90011
1300,1516 S Bundy Drive Unit #204,Los Angeles,CA,90025
1301,1964 Westwood Blvd Suite #340,Los Angeles,CA,90025
1303,4604 Los Feliz Blvd #104,Los Angeles,CA,90027
1308,11860 Wilshire Blvd Suite #100,Los Angeles,CA,90025
1311,1828 Barry Avenue Unit #11,Los Angeles,CA,90025
1312,1305 N Catalina Street,Los Angeles,CA,90027
1313,1309 N Edgemont Street,Los Angeles,CA,90027
1315,3310 Pueblo Avenue,Los Angeles,CA,90032
1317,3930 Van Horne Avenue,Los Angeles,CA,90032
1320,3220 S Central Avenue,Los Angeles,CA,90011
1327,1990 S Bundy Drive #340,Los Angeles,CA,90025
1329,1906 Selby Avenue #4,Los Angeles,CA,90025
1331,1145 E 41St Place,Los Angeles,CA,90011
1333,4801 Templeton Street Unit #B,Los Angeles,CA,90032
1334,3125 Vaquero Avenue,Los Angeles,CA,90032
1335,11022 Santa Monica Blvd Suite #270,Los Angeles,CA,90025
1339,3434 Amesbury Road,Los Angeles,CA,90027
1344,1300 N Western Avenue,Los Angeles,CA,90027
1348,125 E 32Nd Street,Los Angeles,CA,90011
1353,2012 Hyperion Avenue,Los Angeles,CA,90027
1355,2271 Vandalia Avenue,Los Angeles,CA,90032
1360,3007 S Central Avenue,Los Angeles,CA,90011
1363,937 E 33Rd Street,Los Angeles,CA,90011
1366,1649 Talmadge Street,Los Angeles,CA,90027
1369,1567 S Barrington Avenue #6,Los Angeles,CA,90025
1370,5112 Oakland Street,Los Angeles,CA,90032
1371,5440 S Central Avenue #C,Los Angeles,CA,90011
1395,4922 Hollywood Blvd,Los Angeles,CA,90027
1396,2406 N Ditman Avenue,Los Angeles,CA,90032
1398,4139 Camero Avenue,Los Angeles,CA,90027
1399,11558 Rochester Avenue #301,Los Angeles,CA,90025
1403,1923 Kelton Avenue,Los Angeles,CA,90025
1404,4607 Huntington Drive N,Los Angeles,CA,90032
1412,10340 Santa Monica Blvd,Los Angeles,CA,90025
1414,4400 S Central Avenue,Los Angeles,CA,90011
1415,4208 S Central Avenue,Los Angeles,CA,90011
1423,1843 Barry Avenue #4,Los Angeles,CA,90025
1434,5419 Hollywood Blvd Suite #C464,Los Angeles,CA,90027
1453,5001 Compton Avenue,Los Angeles,CA,90011
1461,2031 1/2 N Vermont Avenue,Los Angeles,CA,90027
1464,1875 Benecia Avenue,Los Angeles,CA,90025
1468,1817 Beloit Avenue Apt #22B,Los Angeles,CA,90025
1469,5274 Ithaca Avenue,Los Angeles,CA,90032
1470,5701 S Central Avenue,Los Angeles,CA,90011
1471,4026 Clayton Avenue,Los Angeles,CA,90027
1476,4629 Maubert Avenue,Los Angeles,CA,90027
1477,4020 Compton Avenue,Los Angeles,CA,90011
1479,865 E 47Th Street,Los Angeles,CA,90011
1482,2649 Nevin Avenue,Los Angeles,CA,90011
1483,1701 N Commonwealth Avenue,Los Angeles,CA,90027
1490,2035 Malcolm Avenue,Los Angeles,CA,90025
1493,11728 Wilshire Blvd Apt #B404,Los Angeles,CA,90025
1494,11304 Santa Monica Blvd,Los Angeles,CA,90025
1497,4500 Los Feliz Blvd #C,Los Angeles,CA,90027
1500,5271 Hollywood Blvd,Los Angeles,CA,90027
1504,1507 S Barrington Avenue,Los Angeles,CA,90025
1510,11955 Iowa Avenue #3,Los Angeles,CA,90025
1511,3521 Griffith Park Blvd,Los Angeles,CA,90027
1515,4635 Valley Blvd,Los Angeles,CA,90032
1517,2445 N Vermont Avenue,Los Angeles,CA,90027
1518,4242 Newdale Drive,Los Angeles,CA,90027
1520,11601 Wilshire Blvd Suite #500,Los Angeles,CA,90025
1523,1845 Corinth Avenue #102,Los Angeles,CA,90025
1547,2950 Hyperion Avenue Unit #1/4,Los Angeles,CA,90027
1552,3319 Minto Court,Los Angeles,CA,90032
1559,1920 N Normandie Avenue,Los Angeles,CA,90027
1561,1323 E Adams Blvd,Los Angeles,CA,90011
1563,1950 Butler Avenue,Los Angeles,CA,90025
1571,2011 Lansdowne Avenue,Los Angeles,CA,90032
1575,4645 Melbourne Avenue,Los Angeles,CA,90027
1577,4899 Huntington Drive N,Los Angeles,CA,90032
1582,11766 Wilshire Blvd Suite #840,Los Angeles,CA,90025
1585,1625 N Edgemont Street,Los Angeles,CA,90027
1600,1745 Beloit Avenue,Los Angeles,CA,90025
1601,3520 Holboro Drive,Los Angeles,CA,90027
1602,2409 N Vermont Avenue,Los Angeles,CA,90027
1606,1508 Federal Avenue,Los Angeles,CA,90025
1610,11858 La Grange Avenue,Los Angeles,CA,90025
1612,1216 S Saltair Avenue #101,Los Angeles,CA,90025
1615,2645 Round Drive,Los Angeles,CA,90032
1617,1816 Sawtelle Blvd,Los Angeles,CA,90025
1618,5151 State University Drive,Los Angeles,CA,90032
1621,1809 Overland Avenue #2,Los Angeles,CA,90025
1623,4528 Russell Avenue,Los Angeles,CA,90027
1626,1756 N Berendo Street,Los Angeles,CA,90027
1627,2140 Westwood Blvd Suite #212,Los Angeles,CA,90025
1636,1305 N Catalina Street,Los Angeles,CA,90027
1637,11901 Santa Monica Blvd Suite #210,Los Angeles,CA,90025
1654,4360 Hatfield Place,Los Angeles,CA,90032
1656,400 E Adams Blvd,Los Angeles,CA,90011
1667,12121 Wilshire Blvd Suite #1120,Los Angeles,CA,90025
1668,11850 Wilshire Blvd Suite #201,Los Angeles,CA,90025
1669,669 E 40Th Place,Los Angeles,CA,90011
1670,10635 Santa Monica Blvd Suite #200,Los Angeles,CA,90025
1682,1821 N Alexandria Avenue Unit #5,Los Angeles,CA,90027
1694,1246 Armacost Avenue Penthouse #401,Los Angeles,CA,90025
1695,11620 Wilshire Blvd Suite #580,Los Angeles,CA,90025
1700,1953 Butler Avenue,Los Angeles,CA,90025
1707,1820 N Vermont Avenue,Los Angeles,CA,90027
1709,5224 W Sunset Blvd,Los Angeles,CA,90027
1725,744 E 51St Street,Los Angeles,CA,90011
1728,415 E 32Nd Street Suite #B,Los Angeles,CA,90011
1743,4519 W Sunset Blvd,Los Angeles,CA,90027
1747,1970 Lansdowne Avenue,Los Angeles,CA,90032
1751,5287 W Sunset Blvd,Los Angeles,CA,90027
1761,11872 Wilshire Blvd,Los Angeles,CA,90025
1771,1305 N Catalina Street,Los Angeles,CA,90027
1774,12301 Wilshire Blvd #416,Los Angeles,CA,90025
1775,1325 Wellesley Avenue Unit #207,Los Angeles,CA,90025
1791,3736 Hawley Avenue,Los Angeles,CA,90032
1794,10474 Santa Monica Blvd #400,Los Angeles,CA,90025
1799,3225 Pueblo Avenue,Los Angeles,CA,90032
1806,415 E 32Nd Street Suite #B,Los Angeles,CA,90011
1818,1935 Hillhurst Avenue Unit #B,Los Angeles,CA,90027
1819,1930 N Hobart Blvd,Los Angeles,CA,90027
1820,5118 Harold Way Unit #7,Los Angeles,CA,90027
1824,3826 Los Feliz Blvd Unit #7,Los Angeles,CA,90027
1832,977 E 52Nd Street,Los Angeles,CA,90011
1837,3360 Rowena Avenue,Los Angeles,CA,90027
1838,2149 Manning Avenue,Los Angeles,CA,90025
1844,1283 E 58Th Street,Los Angeles,CA,90011
1847,3079 St George Street,Los Angeles,CA,90027
1848,1815 Armacost Avenue,Los Angeles,CA,90025
1854,4061 Avalon Blvd,Los Angeles,CA,90011
1862,1415 S Saltair Avenue #5,Los Angeles,CA,90025
1873,1810 N Kingsley Drive,Los Angeles,CA,90027
1879,12400 Wilshire Blvd Unit #1120,Los Angeles,CA,90025
1880,5287 W Sunset Blvd,Los Angeles,CA,90027
1882,11022 Santa Monica Blvd #310,Los Angeles,CA,90025
1884,11645 Wilshire Blvd Suite #605,Los Angeles,CA,90025
1892,11970 Wilshire Blvd,Los Angeles,CA,90025
1897,1344 N Hobart Blvd Unit #127,Los Angeles,CA,90027
1899,1917 Palmerston Place #105,Los Angeles,CA,90027
1900,4611 Huntington Drive N,Los Angeles,CA,90032
1903,5131 Harold Way #4,Los Angeles,CA,90027
1905,492 E 42Nd Place,Los Angeles,CA,90011
1909,1931 Overland Avenue #203,Los Angeles,CA,90025
1921,4051 Avalon Blvd,Los Angeles,CA,90011
1922,5301 W Sunset Blvd Suite #6,Los Angeles,CA,90027
1938,3826 Lomitas Drive,Los Angeles,CA,90032
1942,1202 E 45Th Street,Los Angeles,CA,90011
1946,4003 Sunset Drive Unit #5,Los Angeles,CA,90027
1954,1947 Adair Street,Los Angeles,CA,90011
1955,3836 Lomitas Drive,Los Angeles,CA,90032
