,Google_ID,Google_Name,Google_Rating,Google_Total_Ratings,geometry__location__lat,geometry__location__lng,website,address,zipcode_area,types__001,types__002,types__003,types__004,types__005,types__006,types__007,types__008,types__009,id,is_closed,url,review_count,rating,Yelp_Data_Exists,Google_Website_Exists,Both_Website_and_Yelp_Data_Exists,Either_Website_or_Yelp_Data_Exists,is_food_service,TIGER Match Type,TIGER Output Address,Tract Code,geometry,tract
6872,ChIJo7mCPW27woARgnxnt0mH408,TLG Doggie Daycare Boarding & Training,5.0,2.0,34.037187,-118.45336,http://ladoggiedaycare.com/,1901 South Granville Avenue,90025,,,,,,,,,,#NAME?,False,https://www.yelp.com/biz/tlg-doggy-daycare-and-overnight-boarding-los-angeles?adjust_creative=Jipkfx4c4CnSK1Cz7nLQbQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Jipkfx4c4CnSK1Cz7nLQbQ,13.0,5.0,1,1,1,1,,Non_Exact,"1901 GRANVILLE AVE, LOS ANGELES, CA, 90025",267600.0,POINT (-118.45336 34.037187),267600
6873,ChIJP6BOsm27woARmkKrEswL260,Age Skateboard,4.6,153.0,34.0384977,-118.4535679,http://www.youtube.com/adriandeardenofficial,1835 Stoner Avenue #1801,90025,,,,,,,,,,,,,,,0,1,0,1,,Exact,"1835 STONER AVE, LOS ANGELES, CA, 90025",267600.0,POINT (-118.4535679 34.0384977),267600
6874,ChIJu0cPAW27woARHCJ70ge3j18,Stoner Recreation Center,4.3,335.0,34.03805560000001,-118.45333329999998,http://www.laparks.org/dos/reccenter/facility/stonerRC.htm,1835 Stoner Avenue,90025,,,,,,,,,,d5yfK1CE7b42ZG4LVq57yA,False,https://www.yelp.com/biz/stoner-recreation-center-los-angeles?adjust_creative=Jipkfx4c4CnSK1Cz7nLQbQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Jipkfx4c4CnSK1Cz7nLQbQ,68.0,4.0,1,1,1,1,,Exact,"1835 STONER AVE, LOS ANGELES, CA, 90025",267600.0,POINT (-118.4533333 34.03805560000001),267600
6875,ChIJ5wqEDW27woARvWAT91y3EoA,Stoner Park Swimming Pool,4.5,71.0,34.038497799999995,-118.45356799999999,http://stonerpark.lacitypools.com/,1835 Stoner Avenue,90025,,,,,,,,,,wHsqSechghp3X1WH5ce24Q,False,https://www.yelp.com/biz/stoner-park-pool-los-angeles?adjust_creative=Jipkfx4c4CnSK1Cz7nLQbQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Jipkfx4c4CnSK1Cz7nLQbQ,51.0,3.0,1,1,1,1,,Exact,"1835 STONER AVE, LOS ANGELES, CA, 90025",267600.0,POINT (-118.453568 34.03849779999999),267600
6876,ChIJM2qBn227woAR3f-4GJLRo9s,wrkprty® @ Casa del Henry,5.0,2.0,34.0379987,-118.45252520000001,http://wrkprty.com/,Stoner Avenue,90025,,,,,,,,,,,,,,,0,1,0,1,,,,,POINT (-118.4525252 34.0379987),267600
6877,ChIJ_T0YR227woARaktrW06sUJU,Debi P Nayak,,,34.0369831,-118.45272340000001,,1918 Granville Avenue,90025,,,,,,,,,,,,,,,0,0,0,0,,Exact,"1918 GRANVILLE AVE, LOS ANGELES, CA, 90025",267600.0,POINT (-118.4527234 34.0369831),267600
6878,ChIJg9jaFm27woARkxewX5GOTy8,Opica Adult Day Care Center Inc,5.0,8.0,34.0376754,-118.45324699999999,http://www.opica.org/,11759 Missouri Avenue,90025,,,,,,,,,,5zNiL4S7firAhon4quJtqQ,False,https://www.yelp.com/biz/opica-adult-day-care-center-los-angeles?adjust_creative=Jipkfx4c4CnSK1Cz7nLQbQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Jipkfx4c4CnSK1Cz7nLQbQ,3.0,5.0,1,1,1,1,,Exact,"11759 MISSOURI AVE, LOS ANGELES, CA, 90025",267600.0,POINT (-118.453247 34.0376754),267600
6879,ChIJOauHpW27woARZgfAhpschFA,Skate Plaza,5.0,1.0,34.038497799999995,-118.45356799999999,,1835 Stoner Avenue,90025,gym,health,,,,,,,,,,,,,0,0,0,0,0.0,Exact,"1835 STONER AVE, LOS ANGELES, CA, 90025",267600.0,POINT (-118.453568 34.03849779999999),267600
6880,ChIJgdBlY227woARg3rQID_BRD8,Barrington Avenue Baptist,4.5,4.0,34.0382554,-118.4516993,,1903 South Barrington Avenue,90025,church,place_of_worship,,,,,,,,,,,,,0,0,0,0,0.0,Exact,"1903 S BARRINGTON AVE, LOS ANGELES, CA, 90025",267600.0,POINT (-118.4516993 34.0382554),267600
6881,ChIJr6X0Kmy7woARZEtHKfsNk2E,Allen Altchech Photography,,,34.0407011,-118.4544331,http://holdthatsmile.com/,1714 Stoner Avenue #6,90025,,,,,,,,,,,,,,,0,1,0,1,,Exact,"1714 STONER AVE, LOS ANGELES, CA, 90025",267503.0,POINT (-118.4544331 34.0407011),267501
